Dataset	Saliency_bestK	Saliency_best2K
ring+xor+sum_6_1000	1.0	1.0
ring+xor+sum_8_1000	0.8611111111111112	1.0
ring+xor+sum_16_1000	0.7222222222222222	0.9166666666666666
ring+xor+sum_32_1000	0.6388888888888888	0.75
ring+xor+sum_64_1000	0.611111111111111	0.6944444444444445
ring+xor+sum_128_1000	0.3611111111111111	0.4166666666666667
ring+xor+sum_256_1000	0.3333333333333333	0.3333333333333333
ring+xor+sum_512_1000	0.25	0.3055555555555555
ring+xor+sum_1024_1000	0.3055555555555555	0.3055555555555555
ring+xor+sum_2048_1000	0.3055555555555555	0.3055555555555555
